# newspaper.csv — Winkleman Travel Newspaper Clippings
#
# Each row is one clipping — an ad, a feature article, a brief mention,
# anything in print about or from Winkleman Travel. Image files live in
# images/newspaper/{slug}.{ext}.
#
# The page renders all clippings in a single chronological grid sorted
# by date. Feature articles span the full width of the grid; regular ads
# fill the remaining columns. Tilts, offsets, and pin/tape styles are
# auto-generated from each row's slug — same slug always produces the
# same look, but the composition feels naturally varied.
#
# Columns:
#   slug         filename stem (no extension). e.g. "1984-09-07-rih"
#   ext          image extension: "png", "jpg", "webp"
#   title        short headline shown in caption
#   byline       optional, only shown on feature articles
#   publication  publication code (rih, rijh, jvh, options) or full name
#   date         YYYY-MM-DD; sorts the corkboard and renders as
#                "September 7, 1984" in the caption
#   size         "feature" for full-width centerpiece treatment, blank otherwise
#   tilt         OPTIONAL. Leave blank or 0 to auto-generate a stable random
#                tilt from the slug. Set explicitly (e.g. -3) to override.
#   offset_y     OPTIONAL. Same as tilt — blank or 0 auto-generates.
#   style        OPTIONAL. "pin" or "tape". Blank auto-picks based on slug.
#   notes        optional internal notes — ignored by the site
#
# Publication codes recognized today (add more in PUBLICATION_NAMES in ads.html):
#   rih      Rhode Island Herald
#   rijh     Rhode Island Jewish Herald
#   jvh      Jewish Voice and Herald
#   options  Options · Rhode Island LGBTQ+ Magazine
#
# Lines starting with # are ignored. The CSV row order doesn't matter —
# the page sorts everything by date.
#
# IMPORTANT: avoid editing this file in Excel or Numbers if you can.
# Spreadsheet apps mangle CSV comments. Use a plain text editor.
#
slug,ext,title,byline,publication,date,size,tilt,offset_y,style,notes
1975-10-10-rih,png,Maimi Beach,,rih,1975-10-10,,0,0,pin,Ad for Winkleman Travel's Miami Beach packages
1975-11-07-rih,png,Charter Tours,,rih,1975-11-07,,0,0,pin,Ad for Winkleman Travel's charter tours
1975-12-05-rih,png,Hawaii,,rih,1975-12-05,,0,0,pin,Ad for Winkleman Travel's Hawaii packages
1975-12-16-rih,png,Book Now,,rih,1975-12-16,,0,0,pin,Ad for Winkleman Travel's Florida and islands packages
1976-02-13-rih,png,Book Now,,rih,1976-02-13,,0,0,pin,Ad for Winkleman Travel's Florida and islands packages
1976-03-26-rih,png,For all your travel needs,,rih,1976-03-26,,0,0,pin,Ad for Winkleman Travel's general services
1976-04-23-rih,png,We're moving,,rih,1976-04-23,,0,0,pin,Ad for Winkleman Travel's New Location
1976-06-04-rih,png,We've moved,,rih,1976-06-04,,0,0,pin,Ad for Winkleman Travel's New Location
1976-09-17-rih,png,Jewish Travel Guide,,rih,1976-09-17,,0,0,pin,Ad for Winkleman Travel's Jewish Travel Guide
1976-10-01-rih,png,Happy New Year,,rih,1976-10-01,,0,0,pin,Winkleman Travel wishes you a Happy New Year
1976-12-24-rih,png,Israel Travel,,rih,1976-12-24,,0,0,pin,Ad for Winkleman Travel's Israel Travel packages
1978-04-13-rih,png,Israel Tours,,rih,1978-04-13,,0,0,pin,Ad for Winkleman Travel's Israel Tour
1978-06-22-rih,png,Last chance for Israel tours,,rih,1978-06-22,,0,0,pin,Ad for Winkleman Travel's Israel Tour
1978-11-09-rih,png,Even lower fairs to Israel,,rih,1978-11-09,,0,0,pin,Ad for Winkleman Travel's Israel Tour
1978-12-07-rih,png,Tours,,rih,1978-12-07,,0,0,pin,Ad for Winkleman Travel's Israel Tour
1980-11-27-rih,png,We're Moving Again,,rih,1980-11-27,,0,0,pin,Ad for Winkleman Travel's new location at 720 Reservoir Ave
1981-04-30-rih,png,Boston to Tel Aviv,,rih,1981-04-30,,0,0,pin,Ad for Winkleman Travel's Boston to Tel Aviv route
1981-08-13-rih,png,New Winter Charters,,rih,1981-08-13,,0,0,pin,Ad for Winkleman Travel's winter charter tours
1982-01-11-rih,png,Passover in the Catskills,,rih,1982-01-11,,0,0,pin,Ad for Winkleman Travel's Passover in the Catskills tour
1984-09-07b-rih,png,"Joseph Winkleman: Travel Agent, Dedicated Community Worker",by Karen A. Coughlin,rih,1984-09-07,feature,-1,0,tape,Long-form feature article
1984-09-07-rih,png,Join A Winkleman Travel Group to Israel,,rih,1984-09-07,,-2,0,pin,Touro Fraternal / Beth Sholom group trip
1985-09-27-rih,png,Unbelievable new fare to Israel,,rih,1985-09-27,,0,0,pin,Ad for Winkleman Travel's Israel Tour
1986-04-25-rih,png,Passover Specials,,rih,1986-04-25,,0,0,pin,Ad for Winkleman Travel's Passover specials
1986-09-19-rih,png,Now is the best time to visit Israel,,rih,1986-09-19,,0,0,pin,Ad for Winkleman Travel's Israel Tour
1987-04-17-rih,png,El Al coupon,,rih,1987-04-17,,0,0,pin,Ad for Winkleman Travel's Israel tours with El Al
1988-03-17-rih,png,El Al rate lock in,,rih,1988-03-17,,0,0,pin,Ad for Winkleman Travel's Israel tours with El Al
1988-10-27-rih,png,Fly El Al to Israel,,rih,1988-10-27,,0,0,pin,Ad for Winkleman Travel's Israel tours with El Al
1989-08-31-rijh,png,Spend a month this winter in Israel,,rijh,1989-08-31,,0,0,pin,Ad for Winkleman Travel's Israel tours
1989-09-14-rijh,png,Spend a month this winter in Israel (updated ad),,rijh,1989-08-31,,0,0,pin,Ad for Winkleman Travel's Israel tours
1990-01-04-rijh,png,Last Call for Israel Tours,,rijh,1990-01-04,,0,0,pin,Ad for Winkleman Travel's Israel tours
1990-02-08-rijh,png,Coupon for El Al,,rijh,1990-02-08,,0,0,pin,Ad for Winkleman Travel's Israel tours with El Al
1990-04-12-rijh,png,Winkleman Travel Group,,rijh,1990-04-12,feature,0,0,pin,Info about the Winkleman Travel Group
1990-07-26-rijh,png,Here we go again,,rijh,1990-07-26,,0,0,pin,Ad for Winkleman Travel's Israel tours
1990-10-18-rijh,png,Here we go again v2,,rijh,1990-10-18,,0,0,pin,Ad for Winkleman Travel's Israel tours
1990-10-30-rijh,png,Caribbean Deal,,rijh,1990-10-30,,0,0,pin,Ad for Winkleman Travel's Caribbean packages
1990-11-08-rijh,png,Harvey Cohen Invite,,rijh,1990-11-08,,0,0,pin,Ad for Winkleman Travel's Harvey Cohen invite
